heir|air
aisle|isle
alter|altar
aural|oral
bail|bale
bear|bare
bark|barque|bark,
beat|beet
be|bee
berry|bury
birth|berth
byte|bite
bloc|block
boar|bore
bough|bow
beau|bow
break|brake
by|buy|bye
cash|cache
cannon|canon
canvas|canvass
carat|carrot
cast|caste
sell|cell
sensor|censor
scent|cent
cereal|serial
chord|cord
shoot|chute
coarse|course
colonel|kernel
complement|compliment
council|counsel
creek|creak
cue|queue
currant|current
dam|damn
deer|dear
dessert|desert
due|dew
die|dye
discreet|discrete
dough|doe
duel|dual
urn|earn
eave,|eve|eaves
fair|fare
fawn|faun
fir|fur
flair|flare
flee|flea
flower|flour
forward|foreword
fort|forte
foul|fowl
gate|gait
gild|guild,
guilt|gilt
grate|great
hair|hare
hall|haul
hanger|hangar
hey|hay
heel|heal
hear|here
hi|high
hoarse|horse
whole|hole
idol|idle
i|eye
illicit|elicit
jamb|jam
nap|knap
need|knead
knight|night
nit|knit
knot|not
no|know
leek|leak
lesson|lessen
liken|lichen
lye|lie
loan|lone
loupe|loop
mail|male
mane|main
maze|maize
maul|mall
mantel|mantle
martial|marshal
meat|meet
meddle|medal
mettle|metal
mite|might
moose|mousse
mourning|morning
muscle|mussel
naval|navel
nun|none
or|ore|oar
pail|pale
pain|pane
pear|pair|pare
peace|piece
peak|peek|pique
peal|peel
pee|slang:|pea
pedal|peddle
pier|peer
plaice|place
plain|plane
plumb|plum
pole|poll
pour|pore
prey|pray
principal|principle
profit|prophet
rack|wrack
rain|reign|rein
wrap|rap
read|reed
wreak|reek
wrest|rest
retch|wretch
review|revue
write|rite|right
wring|ring
roll|role
route|root
roe|row
wry|rye
sale|sail
seem|seam
sea|see
surf|serf
so|sow|sew
sheer|shear
sight|site|cite
slay|sleigh
slight|sleight
soar|sore
soul|sole
sum|some
son|sun
stare|stair
steak|stake
stationery|stationary
steel|steal
step|steppe
strait|straight
sweet|suite
tail|tale
team|teem
tier|tear
tee|tea
time|thyme
tic|tick
tow|toe
too|two
vane|vein|vain
vice|vise,
whale|wail
waist|waste
wait|weight
wave|waive
ware|where|wear
whey|way|weigh
weak|week
weather|whether
witch|which
whine|wine
yoke|yolk
